experiment_id,task,dataset,seed,model_summary,optimizer,lr,epochs_trained,best_val_accuracy,best_val_loss,precision,recall,mean_iou,notes
C1,classification,CIFAR100,42,Simple CNN,Adam,0.001,4,0.392,2.3502014640808104,,,,
C2,classification,CIFAR100,42,Simple CNN with augmentation,Adam,0.001,4,0.1741,3.5666398193359377,,,,
C3,classification,CIFAR100,42,RestNet18_head,Adam,0.001,4,0.5278,1.764238422012329,,,,
C4,classification,CIFAR100,42,RestNet18_full,Adam,0.001,4,0.392,2.3502014640808104,,,,
V1,detection,VOCDetection,42,fasterrcnn_mobilenet_v3_large_fpn,,0,0,,,0.5263157894459833,0.19607843136870437,0.7599500055824007,
V2,detection,VOCDetection,42,fasterrcnn_mobilenet_v3_large_fpn,,0,0,,,0.7499999999375,0.17647058823183392,0.7641544888416926,
C1,classification,CIFAR100,42,Simple CNN,Adam,0.001,4,0.3526,2.5333578826904297,,,,
C2,classification,CIFAR100,42,Simple CNN with augmentation,Adam,0.001,4,0.1588,3.6831490020751954,,,,
C3,classification,CIFAR100,42,RestNet18_head,Adam,0.001,4,0.5089,1.814136382484436,,,,
C4,classification,CIFAR100,42,RestNet18_full,Adam,0.001,4,0.3526,2.5333578826904297,,,,
V1,detection,VOCDetection,42,fasterrcnn_mobilenet_v3_large_fpn,,0,0,,,0.499999999975,0.19607843136870437,0.7850202769041061,
V2,detection,VOCDetection,42,fasterrcnn_mobilenet_v3_large_fpn,,0,0,,,0.7499999999375,0.17647058823183392,0.7892236138383547,
